urls,precio,calle,altura,metros_totales,metros_cubiertos,ambientes,banios,dormitorios,cocheras
/propiedades/clasificado/veclapin-edificio-depar-r-s-pena-1001-departamentos-2-dorm.-49231300.html,46000,Roque-Saenz-Peña,1001.0,58.0,48.0,3,1.0,2.0,
/propiedades/clasificado/veclapin-departamento-de-2-dorm.-en-venta-a-estrenar-52041999.html,179000,Departamento-A-Estrenar-En-Resistencia-2-Dormitorios-Av-Sarmiento,645.0,85.0,85.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-alvear-251-departamento-3-dorm.-2-banos-100-50822059.html,65000,Av-Alvear,251.0,120.0,100.0,5,2.0,3.0,3.0
/propiedades/clasificado/veclapin-solar-belgrano-52314398.html,44000,Av-Belgrano,1475.0,49.0,39.0,2,3.0,1.0,
/propiedades/clasificado/veclapin-departamento-resistencia-50197555.html,38000,Colon,1300.0,40.0,40.0,2,1.0,1.0,
/propiedades/clasificado/veclapin-departamento-resistencia-50373969.html,125000,Mitre,400.0,82.0,82.0,4,1.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-48472020.html,85000,Santiago-Del-Estero,500.0,75.0,75.0,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-4-ambientes-av-pellegrini-440-51698982.html,55000,Pellegrini,440.0,54.0,54.0,4,1.0,2.0,
/propiedades/clasificado/veclapin-departamento-resistencia-50995518.html,23000,Fontana,400.0,42.0,37.0,1,1.0,,
/propiedades/clasificado/veclapin-edificio-incone-echeverria-350-departamento-de-tres-51025370.html,65000,Echeverria,250.0,75.0,75.0,4,2.0,1.0,1.0
/propiedades/clasificado/veclapin-departamento-en-venta-42515970.html,75000,San-Lorenzo,700.0,77.0,77.0,3,,2.0,
/propiedades/clasificado/veclapin-departamento-1-ambiente-centro-resistencia-48275371.html,45000,Av-Las-Heras,700.0,38.0,38.0,1,1.0,,
/propiedades/clasificado/veclapin-departamento-resistencia-49081625.html,240000,Av-Sarmiento,600.0,122.0,92.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclappa-departamento-1-dormitorio-desde-usd-39.000-50631027.html,39000,San-Lorenzo,1450.0,47.0,40.0,2,1.0,1.0,
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118000,Ameghino,976.0,95.0,85.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-excelente-departamento-en-venta-2-dorm.-conin-iv-51213644.html,200000,Av-Italia,400.0,130.0,98.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-2-dorm.-con-cochera-46236638.html,44000,Av-Marconi,132.0,56.0,56.0,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-50995518.html,23000,Fontana,400.0,42.0,37.0,1,1.0,,
/propiedades/clasificado/veclapin-departamento-4-ambientes-av-pellegrini-440-51698982.html,55000,Pellegrini,440.0,54.0,54.0,4,1.0,2.0,
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118000,Ameghino,976.0,95.0,85.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-51194875.html,45000,Garcia-Merou,100.0,,,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-semipiso-5-ambientes-av-sarmiento-260-microcentro.-51679689.html,140000,Sarmiento,260.0,140.0,110.0,5,3.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-51689013.html,109000,Córdoba,700.0,100.0,67.0,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-en-venta-52810603.html,45000,Necochea,945.0,42.0,,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-edificio-depar-r-s-pena-1001-departamentos-2-dorm.-49231300.html,46000,Roque-Saenz-Peña,1001.0,58.0,48.0,3,1.0,2.0,
/propiedades/clasificado/veclapin-departamento-resistencia-50373969.html,125000,Mitre,400.0,82.0,82.0,4,1.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-en-santa-fe-88-51485437.html,195000,Santa-Fe,88.0,170.0,136.0,6,3.0,3.0,1.0
/propiedades/clasificado/veclapin-edificio-jose-hernandez-1086.monoambientes-y-cocheras.-46272146.html,25000,José-Hernández,1100.0,33.0,30.0,1,1.0,1.0,1.0
/propiedades/clasificado/veclapin-edificio-poo-alem-665-depto-un-dormitorio-40-65-52510743.html,43000,Av-Castelli-,,60.0,40.0,2,1.0,1.0,
/propiedades/clasificado/veclapin-departamento-resistencia-50197555.html,38000,Colon,1300.0,40.0,40.0,2,1.0,1.0,
/propiedades/clasificado/veclapin-solar-rioja-52314846.html,120000,La-Rioja,,90.0,80.0,3,1.0,2.0,
/propiedades/clasificado/veclapin-departamento-1-ambiente-centro-resistencia-48275371.html,45000,Av-Las-Heras,700.0,38.0,38.0,1,1.0,,
/propiedades/clasificado/veclapin-departamento-resistencia-52613945.html,45000,Edificio-Con-Ascensor--Venta-Dpto-1-Dormitorio-En--Alem,600.0,44.0,44.0,2,1.0,1.0,
/propiedades/clasificado/veclapin-solar-belgrano-52314398.html,44000,Av-Belgrano,1475.0,49.0,39.0,2,3.0,1.0,
/propiedades/clasificado/veclapin-departamento-resistencia-50995519.html,60000,Fontana,400.0,90.0,80.0,3,1.0,2.0,
